"obs","Customer","I.tend.to.plan.things.very.carefully.","I.sometimes.have.trouble.controlling.my.spending.","I.think.it.is.important.to.purchase.products.that.are.made.locally.","I.carefully.consider.the.health.benefits.of.what.I.eat.","How.many.times.in.the.last.week.did.you.do.the.following....Make.eat.lunch.at.home","How.many.times.in.the.last.week.did.you.do.the.following....Bring.lunch.to.work","How.many.times.in.the.last.week.did.you.do.the.following....Buy.lunch.at.work","How.many.times.in.the.last.week.did.you.do.the.following....Buy.lunch.at.restaurant","How.many.times.in.the.last.week.did.you.do.the.following....Skipped.lunch","How.many.times.in.the.last.week.did.you.do.the.following....Other","Please.specify.the.top.five.restaurants.you.have.visited.in.the.last.six.months.in.order.of.visit.frequency....Most.frequent","Please.specify.the.top.five.restaurants.you.have.visited.in.the.last.six.months.in.order.of.visit.frequency....Second.most.frequent","Please.specify.the.top.five.restaurants.you.have.visited.in.the.last.six.months.in.order.of.visit.frequency....Third.most.frequent","Please.specify.the.top.five.restaurants.you.have.visited.in.the.last.six.months.in.order.of.visit.frequency....Fourth.most.frequent","Please.specify.the.top.five.restaurants.you.have.visited.in.the.last.six.months.in.order.of.visit.frequency....Fifth.most.frequent","Have.you.ever.visited.Sticks.Kebob.Shop.","Please.indicate.how.important.the.following.factors.are.when.you.visit.a.restaurant....Convenient.place.to.eat","Please.indicate.how.important.the.following.factors.are.when.you.visit.a.restaurant....Variety.of.menu.options","Please.indicate.how.important.the.following.factors.are.when.you.visit.a.restaurant....Good.value.for.money","Please.indicate.how.important.the.following.factors.are.when.you.visit.a.restaurant....Healthy.menu.options","Please.indicate.how.important.the.following.factors.are.when.you.visit.a.restaurant....Food.taste.and.satisfaction","Please.indicate.how.important.the.following.factors.are.when.you.visit.a.restaurant....Friendly.staff","Please.indicate.how.important.the.following.factors.are.when.you.visit.a.restaurant....Pleasant.ambiance","Please.indicate.how.important.the.following.factors.are.when.you.visit.a.restaurant....Consistency...reliability","Please.indicate.how.important.the.following.factors.are.when.you.visit.a.restaurant....Part.of.community","Please.indicate.how.important.the.following.factors.are.when.you.visit.a.restaurant....Other..please.specify.","What.is.your.gender.","What.is.your.age.","What.is.your.approximate.average.annual.household.income.","How.would.you.best.describe.your.household.type.","How.many.children..by.age..currently.live.in.your.household....less.than.12.years.old","How.many.children..by.age..currently.live.in.your.household....12.17.years.old","How.many.children..by.age..currently.live.in.your.household....18.and.older","Please.indicate.your.best.answers.to.the.following....Comments.","What.is.your.profession....Accountant","What.is.your.profession....Lawyer","What.is.your.profession....General.purpose.contractor","What.is.your.profession....Design","What.is.your.profession....Educator","What.is.your.profession....Homemaker","What.is.your.profession....Business.professional","What.is.your.profession....Other..please.specify.","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Soccer","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Football","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Tennis","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Lacrosse","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Swimming","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Music","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Hiking","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Visiting.local.attractions","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Visiting.children.s.museums","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Attending.local.sporting.events","If.you.have.children.living.at.home..in.what.activities.do.they.participate...Please.check.all.that.apply....Other..please.specify.","In.what.activities.or.hobbies.do.you.participate.yourself....Volunteer.work","In.what.activities.or.hobbies.do.you.participate.yourself....Tennis","In.what.activities.or.hobbies.do.you.participate.yourself....Swimming","In.what.activities.or.hobbies.do.you.participate.yourself....Skiing...snow.boarding","In.what.activities.or.hobbies.do.you.participate.yourself....Running","In.what.activities.or.hobbies.do.you.participate.yourself....Hiking","In.what.activities.or.hobbies.do.you.participate.yourself....Golf","In.what.activities.or.hobbies.do.you.participate.yourself....Gardening","In.what.activities.or.hobbies.do.you.participate.yourself....Fishing","In.what.activities.or.hobbies.do.you.participate.yourself....Camping","In.what.activities.or.hobbies.do.you.participate.yourself....Bicycling","In.what.activities.or.hobbies.do.you.participate.yourself....Yoga","In.what.activities.or.hobbies.do.you.participate.yourself....Book.clubs","In.what.activities.or.hobbies.do.you.participate.yourself....Eating.out","In.what.activities.or.hobbies.do.you.participate.yourself....Attending.local.sports.events","In.what.activities.or.hobbies.do.you.participate.yourself....Visiting.museums","In.what.activities.or.hobbies.do.you.participate.yourself....Kid.s.activities","In.what.activities.or.hobbies.do.you.participate.yourself....Other..please.specify.","In.the.last.month..how.many.times.have.you.used.coupons.when.you.visited.a.restaurant.","How.do.you.find.restaurant.coupons...Please.check.all.that.apply....Valpak.or.other.direct.mail.items","How.do.you.find.restaurant.coupons...Please.check.all.that.apply....Coupon.from.coupon.site.or.blog...e.g...print.at.home.","How.do.you.find.restaurant.coupons...Please.check.all.that.apply....Groupon.or.other.social...daily.deal.offers","How.do.you.find.restaurant.coupons...Please.check.all.that.apply....Store.receipt.offer...from.previous.visit.","How.do.you.find.restaurant.coupons...Please.check.all.that.apply....Loyalty.card.reward...e.g...10th.visit.free.meal.","How.do.you.find.restaurant.coupons...Please.check.all.that.apply....Offers.mentioned.in.media..radio..tv..newspaper..etc.","How.do.you.find.restaurant.coupons...Please.check.all.that.apply....Other..please.specify.","segmentnumber"
22,0,2,4,2,3,3,5,1,2,1,NA,"wendys","arbys","simons cafe food cart","christophers run away gourmet food cart","mcdonalds",2,1,2,2,3,1,2,3,2,2,NA,1,2,2,2,"2","0","0",NA,NA,NA,NA,NA,NA,NA,7,"administrative assistant",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"basketball",NA,NA,NA,4,NA,NA,NA,NA,NA,10,NA,NA,NA,14,NA,NA,17,NA,2,1,NA,NA,4,NA,NA,NA,"1"
24,0,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
25,0,2,3,2,2,6,5,3,2,3,NA,"n/a","n/a","n/a","n/a","n/a",2,3,4,2,1,1,2,2,1,3,NA,2,1,2,1,"0","0","0",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,6,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"4"
26,0,1,3,2,1,5,5,1,1,1,NA,"applebees","chilis","ruby tuesdays","fridays","chipotle",2,1,2,2,2,1,1,2,1,2,NA,2,3,3,2,"0","0","1",NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,3,NA,5,6,NA,8,NA,10,NA,1,2,3,NA,5,NA,7,8,9,10,11,NA,NA,14,15,16,17,NA,2,1,NA,NA,4,5,NA,NA,"2"
28,0,2,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
29,0,2,2,1,2,6,1,1,3,1,NA,"Continental","Chili's","Blue Goat","Roosevelt","Lemaire",2,2,2,2,2,1,2,2,1,1,NA,2,2,2,2,"0","0","0",NA,NA,NA,NA,NA,5,NA,NA,"chef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no children",1,NA,NA,NA,5,NA,NA,NA,NA,NA,11,12,NA,14,NA,NA,NA,NA,2,1,NA,3,NA,NA,NA,NA,"3"
30,0,2,4,2,2,2,1,1,1,1,NA,"Hardees","Arbys",NA,NA,NA,2,1,1,1,5,1,1,1,1,3,NA,1,3,1,2,"0","0","0",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA,"4"
31,0,1,3,3,2,3,5,1,2,2,NA,"Cheddars","Applebees","Chick Filet","McDonalds","Taco Bell",2,3,2,1,1,2,2,2,2,2,NA,2,3,2,2,"0","0","0",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,4,NA,NA,NA,"2"
32,0,2,2,1,2,3,5,1,1,2,NA,"Golden Corral",NA,NA,NA,NA,2,1,1,1,2,1,1,1,1,1,NA,1,2,1,1,"3",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,3,1,2,NA,NA,NA,NA,NA,"3"
34,0,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
38,0,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
40,0,3,3,2,1,2,1,4,5,3,NA,"Wendys","Mcdonalds","Burger King","T.G.I.Fridays","Golden Corral",2,2,2,1,1,1,1,2,2,2,NA,1,1,1,1,"1",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Fast food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"4"
41,0,1,4,2,1,3,4,3,NA,NA,NA,"don papa grande","outback","buffalo wild wings","applebees",NA,2,3,2,1,1,1,2,1,2,3,NA,1,3,2,2,NA,"41652",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3,NA,5,6,NA,8,NA,10,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,12,13,14,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,"2"
42,0,1,3,2,1,7,6,1,1,1,NA,"Panera","Texas Roadhouse","Red Robin","Plaza Azteca","China Taste",2,2,2,1,1,2,2,2,2,2,NA,1,2,2,2,"1","0","0",NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,"art",1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,13,NA,15,NA,17,"soccer",2,1,2,3,NA,5,NA,NA,"2"
43,0,2,4,2,4,4,1,1,4,6,NA,"Teasty Freeze","McDonalds","Burger King","Wendy's","Hardee's",2,1,1,1,2,1,1,1,1,2,"Cleanliness",2,2,1,2,"0","0","1",NA,NA,NA,3,NA,NA,NA,NA,"Private Security",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,8,9,10,NA,NA,NA,14,NA,16,NA,"Archrey",1,NA,NA,NA,NA,NA,NA,NA,"1"
45,0,2,3,2,2,6,1,1,3,1,NA,"Olive Garden","Lings Island","Charleys","Country Cooking","Weindy'sAr",2,2,2,2,1,1,2,1,1,2,"Clean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
46,0,2,2,1,2,7,NA,NA,NA,NA,NA,"McDonalds","KFC","Hardee's","Pizza Hut","Local Pizzeria",2,1,2,1,3,1,1,1,1,2,NA,1,2,1,1,"0","0","0",NA,NA,NA,NA,NA,NA,NA,7,"Healthcare Nurse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No children",NA,NA,3,NA,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"3"
48,0,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
49,0,1,2,1,2,3,2,5,3,3,NA,"Starbucks","California Tortilla","Tokyo Sushi","Ruby Tuesday","Applebees",2,1,2,1,1,1,1,2,1,2,NA,1,2,3,2,"0","0","0",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,6,NA,NA,9,10,NA,NA,NA,14,15,16,NA,"Group exercise and travel",2,NA,NA,3,4,5,6,NA,"3"
50,0,2,3,2,2,6,1,1,2,2,NA,"McDonald's","Wendy's","Olive Garden","Golden Corral","Arby's",2,1,1,1,2,1,1,1,1,3,NA,1,4,1,1,"0","0","0",NA,1,NA,NA,NA,NA,NA,NA,"Retired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,2,1,2,NA,4,NA,6,NA,"4"
51,0,2,4,1,2,5,2,1,2,2,NA,"Don Pedros","Chilis","Sticky Rice","Bo Dillaz","Penny Lane",2,2,2,2,2,1,2,2,2,2,NA,1,3,3,2,"0","2","1",NA,NA,NA,NA,NA,5,NA,NA,"minister",NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,16,NA,"zumba",3,1,2,NA,NA,NA,NA,NA,"4"
52,0,1,4,2,2,3,1,1,1,5,NA,"Mcdonalds","hardees","5 guys","chipotle","41831",2,1,2,1,3,1,1,2,3,3,NA,2,1,1,1,"0","2","0",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,4,5,NA,NA,"2"
53,0,2,3,2,3,7,1,1,1,2,NA,"McDonalds","Burger King","Dominos",NA,NA,2,1,2,2,4,2,3,3,1,5,NA,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1"
58,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
